trial,tsc,delta,low8
573,9053547942721,72257802,65
574,9053620914267,72971546,91
575,9053691014624,70100357,224
576,9053769070355,78055731,19
577,9053839425968,70355613,176
578,9053909941701,70515733,197
579,9053981917987,71976286,35
580,9054054142520,72224533,56
581,9054126786616,72644096,56
582,9054203305614,76518998,142
583,9054275521527,72215913,247
584,9054347585999,72064472,207
585,9054415615618,68029619,130
586,9054493715013,78099395,69
587,9054563960311,70245298,247
588,9054635865139,71904828,51
589,9054706426926,70561787,46
590,9054777608161,71181235,225
591,9054852815425,75207264,65
592,9054928735043,75919618,67
593,9054995963903,67228860,255
594,9055071998313,76034410,105
595,9055143055960,71057647,88
596,9055215857022,72801062,126
597,9055286344826,70487804,122
598,9055358339567,71994741,239
599,9055431434064,73094497,80
600,9055505650218,74216154,42
601,9055583866203,78215985,91
602,9055648871970,65005767,34
603,9055721468516,72596546,100
604,9055793737234,72268718,18
605,9055869089866,75352632,74
606,9055957836238,88746372,206
607,9056013433611,55597373,11
608,9056083196859,69763248,187
609,9056156128465,72931606,209
610,9056232185358,76056893,14
611,9056305353199,73167841,239
612,9056379063248,73710049,208
613,9056451630759,72567511,167
614,9056522497679,70866920,143
615,9056593015921,70518242,113
616,9056671903756,78887835,12
617,9056738519622,66615866,70
618,9056809816033,71296411,225
619,9056882744071,72928038,7
620,9056955495673,72751602,249
621,9057042339268,86843595,196
622,9057101171044,58831776,100
623,9057173035976,71864932,200
624,9057243603654,70567678,198
625,9057316255978,72652324,234
626,9057391185545,74929567,137
627,9057460465565,69280020,157
628,9057540545097,80079532,73
629,9057609267737,68722640,25
630,9057681654877,72387140,93
631,9057759265589,77610712,53
632,9057830343640,71078051,216
633,9057903016084,72672444,148
634,9057972939040,69922956,32
635,9058043724841,70785801,41
636,9058121241583,77516742,239
637,9058191597272,70355689,216
638,9058264726317,73129045,45
639,9058339389106,74662789,178
640,9058406227537,66838431,81
641,9058484840572,78613035,124
642,9058555606872,70766300,88
643,9058624420773,68813901,165
644,9058696138452,71717679,212
645,9058770616146,74477694,82
646,9058844421649,73805503,17
647,9058918400434,73978785,178
648,9058989449915,71049481,187
649,9059063411938,73962023,226
650,9059132067386,68655448,58
651,9059209062198,76994812,54
652,9059277418687,68356489,191
653,9059354391099,76972412,59
654,9059426171875,71780776,227
655,9059494770577,68598702,145
656,9059569359272,74588695,168
657,9059638603893,69244621,117
658,9059710652784,72048891,112
659,9059782400907,71748123,139
660,9059857593643,75192736,43
