trial,tsc,delta,low16,low8
575,93188635192100,72095955,27428,36
576,93188707189721,71997621,985,217
577,93188779143360,71953639,61632,192
578,93188855167366,76024006,63878,134
579,93188926317340,71149974,41756,28
580,93189002937647,76620307,50479,47
581,93189072487345,69549698,945,177
582,93189144246585,71759240,63801,57
583,93189216528537,72281952,59545,153
584,93189287354947,70826410,41539,67
585,93189360516440,73161493,64856,88
586,93189431922633,71406193,36809,201
587,93189505898811,73976178,22843,59
588,93189579042253,73143442,28109,205
589,93189658508521,79466268,64745,233
590,93189727435364,68926843,47716,100
591,93189802434419,74999055,8051,115
592,93189871344790,68910371,40086,150
593,93189942611380,71266590,3508,180
594,93190012696273,70084893,30417,209
595,93190089164548,76468275,18180,4
596,93190159292371,70127823,22483,211
597,93190231349704,72057333,55752,200
598,93190305031003,73681299,9051,91
599,93190376951672,71920669,36728,120
600,93190451023697,74072025,53073,81
601,93190524714941,73691244,16317,189
602,93190593743706,69028765,35674,90
603,93190668176508,74432802,19580,124
604,93190740867835,72691327,31483,251
605,93190814185584,73317749,14448,112
606,93190885273675,71088091,61515,75
607,93190956062463,70788788,5887,255
608,93191026655671,70593208,16823,183
609,93191104403059,77747388,38515,115
610,93191175380561,70977502,40529,81
611,93191246182132,70801571,63220,244
612,93191322586903,76404771,53015,23
613,93191394578476,71991573,20524,44
614,93191465050345,70471869,41193,233
615,93191535952518,70902173,33414,134
616,93191610018738,74066220,43954,178
617,93191683734218,73715480,31434,202
618,93191754290571,70556353,5515,139
619,93191826237579,71947008,59531,139
620,93191901434164,75196585,20788,52
621,93191972818101,71383937,36021,181
622,93192044751832,71933731,11224,216
623,93192117478440,72726608,58408,40
624,93192189812787,72334347,41011,51
625,93192265380291,75567504,45507,195
626,93192335090806,69710515,25718,118
627,93192408884388,73793582,25764,164
628,93192479781544,70897156,12968,168
629,93192554709827,74928283,33603,67
630,93192626182064,71472237,6064,176
631,93192698697890,72515826,39074,162
632,93192771021463,72323573,10903,151
633,93192842133621,71112158,16501,117
634,93192915634093,73500472,51117,173
635,93192989895228,74261135,59964,60
636,93193062479139,72583911,29987,35
637,93193134697613,72218474,27789,141
638,93193206132135,71434522,28071,167
639,93193277796194,71664059,61282,98
640,93193351976220,74180026,54556,28
641,93193421569753,69593533,48857,217
642,93193497214331,75644578,64891,123
643,93193565387129,68172798,14713,121
644,93193639418322,74031193,55762,210
645,93193714208975,74790653,4303,207
646,93193787561378,73352403,21922,162
647,93193860751026,73189648,7858,178
648,93193932660609,71909583,24449,129
649,93194003275523,70614914,57091,3
650,93194076308890,73033367,17818,154
651,93194151886312,75577422,32232,232
652,93194220068645,68182333,57125,37
653,93194292678047,72609402,52639,159
654,93194373861850,81183803,37338,218
655,93194440383610,66521760,40058,122
656,93194510751837,70368227,22621,93
657,93194583575733,72823896,36021,181
658,93194657736769,74161036,10305,65
659,93194729135863,71399094,40695,247
660,93194803724337,74588474,49201,49
661,93194873018397,69294060,6173,29
662,93194950703974,77685577,31590,102
663,93195024561422,73857448,29966,14
664,93195096890119,72328697,6919,7
665,93195164473797,67583678,22981,197
666,93195237440443,72966646,48059,187
667,93195309131043,71690600,42275,35
668,93195381944080,72813037,44816,16
669,93195454892977,72948897,52145,177
670,93195528380284,73487307,8060,124
671,93195600321264,71940980,56048,240
672,93195672778954,72457690,30922,202
673,93195748334990,75556036,23950,142
674,93195818548588,70213598,48492,108
675,93195889415386,70866798,5338,218
676,93195962836922,73421536,26554,186
677,93196038092000,75255078,46304,224
678,93196114094502,76002502,27046,166
