trial,tsc,delta,low8,low16
694,3877240688910,73196793,14,53518
695,3877313259289,72570379,25,10009
696,3877392120113,78860824,49,31025
697,3877463427341,71307228,13,35085
698,3877534099499,70672158,43,59435
699,3877600697509,66598010,165,7333
700,3877676687456,75989947,96,41056
701,3877748860327,72172871,167,58791
702,3877826291477,77431150,21,26389
703,3877894047902,67756425,158,18590
704,3877965447495,71399593,71,49479
705,3878039563026,74115531,18,43794
706,3878114301698,74738672,2,5890
707,3878192526815,78225117,223,46559
708,3878262567600,70040785,176,29360
709,3878332353055,69785455,31,18975
710,3878402566282,70213227,138,43146
711,3878472914330,70348048,154,5530
712,3878550005000,77090670,8,25864
713,3878622310226,72305226,82,44882
714,3878781606790,159296564,134,23430
715,3879989499136,1207892346,0,21760
716,3880058082963,68583827,147,54931
717,3880131703499,73620536,203,13003
718,3880207486120,75782621,168,36008
719,3880277612908,70126788,108,39276
720,3880347975330,70362422,162,16034
721,3880422943398,74968068,166,10918
722,3880497162184,74218786,200,42952
723,3880570027420,72865236,156,32156
724,3880638854306,68826886,162,46242
725,3880712842744,73988438,248,44536
726,3880785015361,72172617,65,62017
727,3880856224852,71209491,84,33876
728,3880929904851,73679999,211,51411
729,3881003194914,73290063,34,6690
730,3881074871589,71676675,37,52517
731,3881146999033,72127444,249,24825
732,3881220071115,73072082,203,24267
733,3881292195566,72124451,238,59118
734,3881368381402,76185836,218,26586
735,3881438824238,70442836,46,18222
736,3881512082321,73258083,145,7057
737,3881584410311,72327990,199,48839
738,3881660692449,76282138,225,47073
739,3881729021363,68328914,179,21939
740,3881800285727,71264364,31,48671
741,3881875014971,74729244,59,1339
742,3881950102512,75087541,240,50160
743,3882016131664,66029152,80,19024
744,3882089663631,73531967,143,19599
745,3882165066995,75403364,243,56563
746,3882237380876,72313881,12,18700
747,3882307576783,70195907,207,25551
748,3882380103124,72526341,212,3540
749,3882455083632,74980508,112,10864
750,3882525233820,70150188,156,37532
751,3882600492756,75258936,212,61140
752,3882670307180,69814424,108,14188
753,3882742029488,71722308,176,40112
754,3882817216017,75186529,17,56849
755,3882890043227,72827210,91,8027
756,3882961454603,71411376,11,50699
757,3883034514689,73060086,1,38145
758,3883111441270,76926581,118,25462
759,3883183578443,72137173,75,7499
760,3883255091633,71513190,177,20913
761,3883328045360,72953727,48,33072
762,3883397338632,69293272,8,54792
763,3883467564002,70225370,226,25570
764,3883542909893,75345891,197,5061
765,3883617485830,74575937,6,1030
766,3883686957751,69471921,183,4791
767,3883759809735,72851984,199,46279
768,3883834561783,74752048,247,21751
769,3883905787672,71225889,24,10008
770,3883979989553,74201881,49,25137
771,3884047606579,67617026,51,9011
772,3884123199121,75592542,145,38545
773,3884196268729,73069608,185,35513
774,3884267519734,71251005,246,48886
775,3884338508933,70989199,133,62597
776,3884413464552,74955619,232,45032
777,3884486734986,73270434,138,46218
778,3884568386695,81651709,135,40071
779,3884630122219,61735524,235,40683
780,3884703991461,73869242,165,50853
781,3884775723569,71732108,49,21041
782,3884850680367,74956798,47,4655
783,3884918896706,68216339,66,63554
784,3884993619884,74723178,172,10156
785,3885067142306,73522422,162,1186
786,3885140411184,73268878,48,816
787,3885210632634,70221450,186,33210
788,3885283817316,73184682,100,14180
789,3885356500641,72683325,161,18081
790,3885429226027,72725386,43,64043
791,3885502247725,73021698,45,13101
792,3885576289433,74041708,153,64665
793,3885648597716,72308283,212,21204
794,3885721959405,73361689,237,48109
795,3885791257341,69297936,253,8957
796,3885864700311,73442970,151,51607
797,3885939215572,74515261,212,52436
798,3886011530061,72314489,77,15181
799,3886081467822,69937761,174,26030
800,3886155205599,73737777,223,35807
801,3886227367988,72162389,52,43060
802,3886300486083,73118095,195,22979
803,3886377024946,76538863,178,15794
804,3886447283606,70258660,150,19862
805,3886518518212,71234606,196,16836
806,3886589788445,71270233,29,49437
807,3886665399911,75611466,103,32359
808,3886734833040,69433129,144,62864
809,3886811122828,76289788,140,3212
810,3886881262475,70139647,139,19339
811,3886953597771,72335296,75,2891
812,3887025012901,71415130,165,49317
813,3887098437554,73424653,178,8114
814,3887172652904,74215350,104,36712
815,3887245156101,72503197,5,57093
816,3887319589384,74433283,8,41480
817,3887388767013,69177629,37,13093
818,3887463215733,74448720,117,12917
